year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1867,2,0.009,-0.073,0.078,-0.171,0.189,-0.579,0.598,-0.194,0.202,-0.617,0.625
1867,3,-0.717,-0.807,-0.654,-0.887,-0.547,-1.111,-0.323,-0.908,-0.537,-1.157,-0.286
1867,4,-0.258,-0.347,-0.192,-0.427,-0.089,-0.51,-0.006,-0.449,-0.076,-0.575,0.052
1867,5,-0.546,-0.631,-0.484,-0.714,-0.378,-0.808,-0.285,-0.733,-0.368,-0.869,-0.231
1867,6,-0.294,-0.38,-0.233,-0.471,-0.117,-0.526,-0.061,-0.49,-0.107,-0.6,0.003
1867,7,-0.239,-0.319,-0.171,-0.409,-0.069,-0.472,-0.007,-0.424,-0.053,-0.536,0.059
1867,8,-0.232,-0.323,-0.168,-0.406,-0.058,-0.532,0.067,-0.428,-0.049,-0.592,0.116
1867,9,-0.101,-0.188,-0.028,-0.267,0.065,-0.42,0.218,-0.285,0.08,-0.469,0.266
1867,10,-0.185,-0.275,-0.124,-0.342,-0.028,-0.531,0.161,-0.367,-0.015,-0.578,0.198
1867,11,-0.313,-0.397,-0.243,-0.489,-0.138,-0.683,0.056,-0.509,-0.124,-0.732,0.101
1867,12,-0.637,-0.729,-0.572,-0.804,-0.469,-1.026,-0.247,-0.828,-0.457,-1.073,-0.21
1868,1,-0.703,-0.808,-0.625,-0.875,-0.532,-1.298,-0.109,-0.9,-0.517,-1.332,-0.082
1868,2,-0.466,-0.563,-0.383,-0.64,-0.292,-1.136,0.204,-0.67,-0.275,-1.17,0.227
1868,3,-0.076,-0.174,-0.006,-0.243,0.092,-0.526,0.375,-0.269,0.106,-0.568,0.407
1868,4,-0.378,-0.451,-0.307,-0.542,-0.213,-0.626,-0.129,-0.558,-0.195,-0.684,-0.068
1868,5,-0.073,-0.177,-0.02,-0.229,0.082,-0.335,0.188,-0.255,0.095,-0.393,0.235
1868,6,-0.18,-0.276,-0.119,-0.339,-0.02,-0.425,0.065,-0.365,-0.007,-0.488,0.119
